DailyQCReport_U0363_20260423_092815


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0363
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,581,0,0,2015.121,2.655884,456.8989
Violet,SSC,150,6,4.166667,2008.398,2.741409,11489.79
Blue,SSC-B,114,-5,-4.201681,1998.741,5.457526,12937.2
UV,UV1 (373),1170,11,0.9490941,302.409,6.857041,45.29577
UV,UV2 (388),247,4,1.646091,2024.75,5.703995,462.9955
UV,UV3 (428),305,3,0.9933775,1531.625,5.373861,1564
UV,UV4 (443),481,7,1.476793,1231.566,5.559639,1729.024
UV,UV5 (458),355,9,2.601156,1222.314,5.306729,3028.442
UV,UV6 (473),328,8,2.5,1548.886,5.162446,5315.787
UV,UV7 (514),407,8,2.005013,1699.108,5.277268,6599.875
UV,UV8 (542),317,4,1.277955,1032.979,5.249502,3646.952
UV,UV9 (582),411,11,2.75,1369.066,5.348964,4289.87
UV,UV10 (613),283,8,2.909091,1248.935,5.183,4410.76
UV,UV11 (664),351,17,5.08982,590.463,5.302492,2160.972
UV,UV12 (692),269,14,5.490196,490.593,7.763768,1193.572
UV,UV13 (720),728,28,4,541.714,11.92585,1030.813
UV,UV14 (750),1170,41,3.631532,641.025,12.85134,1506.578
UV,UV15 (780),707,18,2.612482,596.05,14.86957,795.1436
UV,UV16 (812),1345,-172,-11.33817,827.783,19.15067,576.2003
Violet,V1 (428),172,5,2.994012,599.489,1.276162,1249.345
Violet,V2 (443),239,6,2.575107,1283.491,1.239682,3054.904
Violet,V3 (458),196,5,2.617801,1395.171,1.322348,3440.824
Violet,V4 (473),151,3,2.027027,1240.386,1.513473,3649.828
Violet,V5 (508),206,3,1.477833,1077.342,1.729589,3752.801
Violet,V6 (525),172,3,1.775148,764.697,1.884292,2726.648
Violet,V7 (542),232,3,1.310044,899.077,2.409255,2826.312
Violet,V8 (581),335,6,1.823708,772.973,3.206692,1535.609
Violet,V9 (598),358,3,0.8450705,778.474,1.701567,1077.516
Violet,V10 (615),258,5,1.976285,1172.412,1.971828,991.041
Violet,V11 (664),204,20,10.86957,525.565,3.321647,483.313
Violet,V12 (692),167,13,8.441559,456.286,2.844786,236.3152
Violet,V13 (720),180,12,7.142858,519.524,5.198992,142.2397
Violet,V14 (750),199,15,8.152174,460.064,7.052228,113.6529
Violet,V15 (780),289,17,6.25,496.188,8.473304,78.75035
Violet,V16 (812),361,-52,-12.5908,549.407,12.74911,27.57965
Blue,B1 (508),507,-5,-0.9765625,144.104,2.978729,374.7087
Blue,B2 (525),322,-8,-2.424242,178.754,3.392009,369.3553
Blue,B3 (542),297,-6,-1.980198,544.422,4.270802,1041.747
Blue,B4 (581),316,-4,-1.25,741.997,4.226837,1338.731
Blue,B5 (598),269,-5,-1.824817,875.439,2.943773,1332.781
Blue,B6 (615),221,0,0,933.292,2.575816,1114.823
Blue,B7 (661),421,11,2.682927,575.763,3.295744,680.4061
Blue,B8 (679),299,10,3.460207,490.723,2.831512,523
Blue,B9 (697),510,15,3.030303,604.348,4.703984,383.9035
Blue,B10 (717),429,16,3.874092,416.519,5.6129,219.2447
Blue,B11 (738),274,10,3.787879,274.968,5.75907,134.1996
Blue,B12 (760),320,13,4.234528,272.469,6.229368,107.4396
Blue,B13 (783),440,9,2.088167,253.358,7.605217,72.27628
Blue,B14 (812),672,-109,-13.95647,531.794,12.36128,70.72017
YellowGreen,YG1 (577),538,36,7.171315,920.948,5.132315,1110.242
YellowGreen,YG2 (598),457,22,5.057471,1828.357,5.637912,1595.324
YellowGreen,YG3 (615),383,29,8.192091,2707.04,6.128196,2196.48
YellowGreen,YG4 (661),597,68,12.85444,1546.752,3.713154,1459.441
YellowGreen,YG5 (679),624,72,13.04348,1357.228,4.008183,1119.903
YellowGreen,YG6 (697),599,74,14.09524,1532.362,7.007086,702.8973
YellowGreen,YG7 (720),485,56,13.05361,2102.438,6.049716,710.0563
YellowGreen,YG8 (750),450,57,14.50382,1090.248,5.542611,327.3566
YellowGreen,YG9 (780),571,55,10.65891,1035.2,5.5408,214.4197
YellowGreen,YG10 (812),789,-47,-5.62201,1158.059,9.364123,89.18718
Red,R1 (661),183,33,22,422.323,4.088923,1250.411
Red,R2 (679),182,23,14.46541,1132.502,4.608271,2769.802
Red,R3 (697),241,8,3.433476,2035.949,3.42626,1792.683
Red,R4 (717),260,9,3.585658,1958.815,4.292198,1061.258
Red,R5 (738),190,7,3.825137,1619.806,5.098771,903.1313
Red,R6 (760),275,14,5.363985,1435.185,7.738827,682.6436
Red,R7 (783),417,7,1.707317,1882.452,9.580159,487.5076
Red,R8 (812),263,-52,-16.50794,2028.761,14.63098,198.4982


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.575,1.16658,1.15
Violet,-20.25,1.135337,9.099999
Blue,0,1.241126,1.075
Red,20.275,1.080149,73.88
UV,38.975,1.022665,0
FSC Area Scaling Factor,1.21898,Window Extension,3
Flow Rate,15.96
Temperature,20.5
