Cytometer Serial Number:,R6643380033
UserId:,51379780-8b83-4053-b9ba-1f438aae3d49
Setup Type:,CSTPerformanceCheckSetupResult
Setup Data time:,4/7/2026 1:38:15 PM,Last Baseline Setup Data time:,3/9/2026 5:19:05 PM
Configuration Name,8 Color B2-V2-YG4 (1)
Nozzle,Nozzle100
BeadLotId:,4319780
Window Extension,2
FSC Area Scaling Factor,1.209298

Laser setup result:
Laser, FSC based delay, FL based delay, Area Scaling Factor
LSR_Violet,-110.429580688477,-110.494575500488,0.9819699
LSR_YellowGreen,-56.1442680358887,-56.2143287658691,0.7889965
LSR_Blue,0,0,1.147464

Detector results:
Laser, Name, Filter, Mirror, Position, PMTV, DeltPMTV, Slope, Intercept, Bri-Median, Bri-%rCV, Linearity-Min, Linearity-Max, Sensitivity, %Sensitivity Diff, Qr*1000, Br
Blue,FSC,,, ,396,-1,0.00381716410629451,3.56856560707092,120873.6,2.336181,,,60.6056785583496,-12.6601343154907,,
YellowGreen,PE (YG),BP/582/15,BP/582/15,D,589,0,8.95094871520996,-19.7967319488525,100352.9,2.919957,116.257522583008,232185.09375,3676.93188476563,-1.55584728717804,490.976440429688,14.4109029769897
YellowGreen,PE-CF594 (YG),BP/613/18,LP/605/10,C,603,-1,8.89829349517822,-19.7425422668457,100483,2.885334,41.5013771057129,234453.453125,2610.96997070313,2.80239343643188,320.062866210938,18.6827068328857
YellowGreen,PE-Cy5 (YG),BP/697/58,LP/665/10,B,562,-1,8.82344341278076,-19.2651233673096,100997.5,2.239409,81.3065643310547,233424.609375,1206.23876953125,2.1039924621582,337.912780761719,92.4239196777344
YellowGreen,PE-Cy7 (YG),BP/783/56,LP/752/10,A,595,-1,8.70198059082031,-19.1432018280029,101797.1,2.536668,115.717468261719,232370.90625,2144.14453125,3.87242960929871,127.832695007324,10.3300704956055
Violet,V450,BP/448/45,BP/448/45,B,603,0,8.88626480102539,-19.7060165405273,102790.2,5.504645,39.0336837768555,223933.8125,276.212066650391,-1.20247864723206,62.3835906982422,328.755706787109
Violet,BV510,BP/528/45,LP/500/5,A,465,-1,8.65477752685547,-18.088752746582,102968.4,5.08438,752.18896484375,228677.03125,326.636688232422,-11.9849367141724,54.1467933654785,186.857666015625
Blue,SSC,BP/488/15,ND/10/5,C,388,0,8.33356666564941,-16.4852600097656,121779.8,8.813508,,,2690.97119140625,0.651215672492981,,
Blue,FITC,BP/527/32,LP/507/5,B,575,-1,8.66025638580322,-18.9039459228516,99916.55,3.926311,63.1105079650879,227675.75,408.325469970703,-5.70700550079346,55.9646453857422,133.971633911133
Blue,PerCP,BP/700/54,LP/665/5,A,618,0,8.68759059906006,-19.2473449707031,100655.5,3.349879,133.808547973633,225480.65625,130.811294555664,2.66229701042175,14.167046546936,330.02783203125

Status:,Passed
