Cytometer Serial Number:,R6643380033
UserId:,1fb8e832-4476-424c-8ef7-0c10f10b1ff1
Setup Type:,CSTPerformanceCheckSetupResult
Setup Data time:,4/8/2026 3:43:14 PM,Last Baseline Setup Data time:,3/9/2026 5:19:05 PM
Configuration Name,8 Color B2-V2-YG4 (1)
Nozzle,Nozzle100
BeadLotId:,4319780
Window Extension,2
FSC Area Scaling Factor,1.224728

Laser setup result:
Laser, FSC based delay, FL based delay, Area Scaling Factor
LSR_Violet,-110.098114013672,-110.075424194336,1.003574
LSR_YellowGreen,-56.1503448486328,-56.1405448913574,0.8028879
LSR_Blue,0,0,1.166435

Detector results:
Laser, Name, Filter, Mirror, Position, PMTV, DeltPMTV, Slope, Intercept, Bri-Median, Bri-%rCV, Linearity-Min, Linearity-Max, Sensitivity, %Sensitivity Diff, Qr*1000, Br
Blue,FSC,,, ,395,-2,0.00382135971449316,3.57162666320801,121457.5,2.218574,,,59.0261650085449,-14.9363985061646,,
YellowGreen,PE (YG),BP/582/15,BP/582/15,D,586,-3,8.85956859588623,-19.5237731933594,99896.92,2.624475,101.966766357422,232452.90625,3843.33032226563,2.89921307563782,539.231018066406,14.533763885498
YellowGreen,PE-CF594 (YG),BP/613/18,LP/605/10,C,601,-3,8.90642070770264,-19.7465000152588,100927.8,2.614768,30.03879737854,232716.265625,2677.2587890625,5.4124002456665,318.454345703125,17.7076530456543
YellowGreen,PE-Cy5 (YG),BP/697/58,LP/665/10,B,562,-1,8.7828950881958,-19.1480007171631,100237.3,2.111452,54.596378326416,232210.4375,1207.41796875,2.20380783081055,363.149658203125,99.0156784057617
YellowGreen,PE-Cy7 (YG),BP/783/56,LP/752/10,A,595,-1,8.77931022644043,-19.3545761108398,100801.4,2.393094,112.404312133789,233575.34375,2169.73120117188,5.11196804046631,128.660186767578,10.0869741439819
Violet,V450,BP/448/45,BP/448/45,B,602,-1,8.92251968383789,-19.7989845275879,102629.5,4.677706,47.3170471191406,225249.125,267.734069824219,-4.23494958877563,68.6245803833008,383.720062255859
Violet,BV510,BP/528/45,LP/500/5,A,464,-2,8.64309787750244,-18.0462474822998,102109.6,4.203904,761.712524414063,229641.765625,294.544219970703,-20.6325283050537,56.556079864502,243.618850708008
Blue,SSC,BP/488/15,ND/10/5,C,387,-1,8.25891876220703,-16.2845878601074,122073.9,8.272514,,,2387.02416992188,-10.7174072265625,,
Blue,FITC,BP/527/32,LP/507/5,B,575,-1,8.80832767486572,-19.3052921295166,100893.7,3.435785,96.1091613769531,228165.25,392.750457763672,-9.30368232727051,54.3262672424316,140.624206542969
Blue,PerCP,BP/700/54,LP/665/5,A,617,-1,8.68705081939697,-19.241418838501,100350.8,3.157103,81.4453201293945,226261.625,132.601638793945,4.06738090515137,14.1966600418091,323.310607910156

Status:,Passed
