Cytometer Serial Number:,R6643380033
UserId:,14759f17-8780-49c0-95ed-c15660253859
Setup Type:,CSTPerformanceCheckSetupResult
Setup Data time:,4/26/2026 2:30:52 PM,Last Baseline Setup Data time:,3/9/2026 5:19:05 PM
Configuration Name,8 Color B2-V2-YG4 (1)
Nozzle,Nozzle100
BeadLotId:,4319780
Window Extension,2
FSC Area Scaling Factor,1.206512

Laser setup result:
Laser, FSC based delay, FL based delay, Area Scaling Factor
LSR_Violet,-110.638122558594,-110.61604309082,0.9712105
LSR_YellowGreen,-56.253589630127,-56.2677040100098,0.8040776
LSR_Blue,0,0,1.148219

Detector results:
Laser, Name, Filter, Mirror, Position, PMTV, DeltPMTV, Slope, Intercept, Bri-Median, Bri-%rCV, Linearity-Min, Linearity-Max, Sensitivity, %Sensitivity Diff, Qr*1000, Br
Blue,FSC,,, ,396,-1,0.00381831545382738,3.56946277618408,120268.1,2.054732,,,58.9371032714844,-15.0647468566895,,
YellowGreen,PE (YG),BP/582/15,BP/582/15,D,587,-2,8.93717288970947,-19.7471828460693,100603,2.581481,114.36589050293,231658.78125,3832.97094726563,2.62185668945313,504.327056884766,13.6188344955444
YellowGreen,PE-CF594 (YG),BP/613/18,LP/605/10,C,601,-3,8.92439842224121,-19.8057556152344,100806,2.638369,21.7100944519043,229981.46875,2705.3046875,6.51665878295898,327.0751953125,17.7593173980713
YellowGreen,PE-Cy5 (YG),BP/697/58,LP/665/10,B,560,-3,8.82447242736816,-19.2558135986328,101136.9,2.07692,64.2865142822266,229395.6875,1196.70825195313,1.29726672172546,378.907470703125,105.213966369629
YellowGreen,PE-Cy7 (YG),BP/783/56,LP/752/10,A,592,-4,8.72342300415039,-19.1867656707764,100934.3,2.339158,110.962707519531,233170.84375,2320.31518554688,12.4069633483887,132.314468383789,8.95143222808838
Violet,V450,BP/448/45,BP/448/45,B,602,-1,8.88119125366211,-19.6901435852051,100964.1,4.467472,40.4519729614258,227411.375,284.985687255859,1.93573307991028,70.0136795043945,344.449035644531
Violet,BV510,BP/528/45,LP/500/5,A,465,-1,8.59316349029541,-17.9239330291748,101728.5,4.044652,742.97607421875,231822.609375,364.191772460938,-1.86539721488953,56.936695098877,153.152923583984
Blue,SSC,BP/488/15,ND/10/5,C,388,0,8.31970691680908,-16.4558067321777,123019.6,7.68011,,,2925.33203125,9.41708564758301,,
Blue,FITC,BP/527/32,LP/507/5,B,575,-1,8.76879405975342,-19.1985168457031,100751.6,2.959421,67.5271911621094,226589.5625,437.911529541016,1.12518668174744,55.6177864074707,115.71395111084
Blue,PerCP,BP/700/54,LP/665/5,A,618,0,8.68908214569092,-19.2541694641113,100479.5,3.005558,76.9306793212891,224619.21875,133.933288574219,5.11247587203979,14.4386253356934,320.770324707031

Status:,Passed
