DailyQCReport_U0363_20260424_093540


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0363
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,581,0,0,2020.37,2.55895,392.5589
Violet,SSC,149,5,3.472222,1998.397,2.502021,12017.42
Blue,SSC-B,117,-2,-1.680672,1995.301,4.682943,12159.79
UV,UV1 (373),1160,1,0.08628128,303.844,7.053165,47.33175
UV,UV2 (388),246,3,1.234568,2032.819,5.856583,453.381
UV,UV3 (428),304,2,0.6622517,1536.798,5.47482,1580.782
UV,UV4 (443),480,6,1.265823,1233.966,5.585197,1795.335
UV,UV5 (458),353,7,2.023121,1211.369,5.347405,3049.744
UV,UV6 (473),329,9,2.8125,1547.704,5.217656,4994.463
UV,UV7 (514),411,12,3.007519,1709.307,5.297154,6610.025
UV,UV8 (542),320,7,2.236422,1032.195,5.153135,3802.974
UV,UV9 (582),414,14,3.5,1361.848,5.242293,4116.11
UV,UV10 (613),284,9,3.272727,1243.328,5.102947,4169.29
UV,UV11 (664),352,18,5.389221,589.303,5.365117,2179.221
UV,UV12 (692),263,8,3.137255,494.954,5.513728,1174.2
UV,UV13 (720),700,0,0,547.211,5.620174,1064.819
UV,UV14 (750),1123,-6,-0.5314438,656.42,6.182549,1556.903
UV,UV15 (780),676,-13,-1.886792,609.6645,6.633878,867.2067
UV,UV16 (812),1236,-281,-18.5234,851.7125,7.225701,601.7271
Violet,V1 (428),170,3,1.796407,600.1505,1.362016,1246.349
Violet,V2 (443),237,4,1.716738,1280.85,1.322619,2926.973
Violet,V3 (458),194,3,1.57068,1383.974,1.369679,3684.87
Violet,V4 (473),150,2,1.351351,1233.926,1.368157,3460.558
Violet,V5 (508),205,2,0.9852217,1066.359,1.319963,3635.217
Violet,V6 (525),173,4,2.366864,762.7765,1.339931,2520.826
Violet,V7 (542),234,5,2.183406,899.949,1.341615,2724.954
Violet,V8 (581),341,12,3.647416,766.437,1.432546,1620.27
Violet,V9 (598),364,9,2.535211,775.1105,1.540234,1183.586
Violet,V10 (615),260,7,2.766798,1171.057,1.461529,1052.949
Violet,V11 (664),205,21,11.41304,521.321,1.417462,491.5099
Violet,V12 (692),167,13,8.441559,455.361,1.498187,228.6399
Violet,V13 (720),179,11,6.547619,523.493,2.184413,146.4956
Violet,V14 (750),197,13,7.065217,466.5855,2.989383,113.96
Violet,V15 (780),280,8,2.941176,499.2135,3.386787,79.22398
Violet,V16 (812),337,-76,-18.40194,565.8495,4.161083,27.6787
Blue,B1 (508),519,7,1.367188,144.692,2.723867,399.148
Blue,B2 (525),332,2,0.6060606,179.995,2.606856,385.6115
Blue,B3 (542),306,3,0.990099,545.8295,2.67541,1100.634
Blue,B4 (581),327,7,2.1875,741.2565,2.527743,1364.504
Blue,B5 (598),281,7,2.554744,879.7845,2.744647,1297.027
Blue,B6 (615),228,7,3.167421,937.588,2.858547,1258.85
Blue,B7 (661),434,24,5.853659,576.0805,2.658319,682.2119
Blue,B8 (679),309,20,6.920415,489.196,2.806018,484.493
Blue,B9 (697),517,22,4.444445,606.246,2.627895,419.1135
Blue,B10 (717),429,16,3.874092,420.413,2.266694,225.2531
Blue,B11 (738),273,9,3.409091,277.9925,2.109674,133.7627
Blue,B12 (760),319,12,3.908795,276.717,2.184998,103.6801
Blue,B13 (783),432,1,0.2320186,256.0925,2.58126,76.51462
Blue,B14 (812),632,-149,-19.07811,546.929,3.464557,76.47755
YellowGreen,YG1 (577),553,51,10.15936,919.652,5.445576,1192.08
YellowGreen,YG2 (598),467,32,7.356322,1839.631,5.266051,1616.557
YellowGreen,YG3 (615),385,31,8.757062,2714.005,5.016308,2247.791
YellowGreen,YG4 (661),604,75,14.17769,1539.571,3.877536,1447.413
YellowGreen,YG5 (679),632,80,14.49275,1367.629,3.546505,1118.964
YellowGreen,YG6 (697),596,71,13.52381,1527.8,3.048832,720.0679
YellowGreen,YG7 (720),479,50,11.65501,2089.303,2.549671,706.2609
YellowGreen,YG8 (750),447,54,13.74046,1085.255,2.23332,330.6563
YellowGreen,YG9 (780),571,55,10.65891,1045.355,2.263145,239.8386
YellowGreen,YG10 (812),749,-87,-10.4067,1188.109,2.806787,93.48845
Red,R1 (661),174,24,16,412.984,1.683862,1188.806
Red,R2 (679),179,20,12.57862,1111.189,1.842924,2519.73
Red,R3 (697),237,4,1.716738,2036.603,1.443325,1867.248
Red,R4 (717),255,4,1.593626,1984.239,1.641947,1071.504
Red,R5 (738),186,3,1.639344,1651.588,1.980872,929.9354
Red,R6 (760),265,4,1.532567,1448.675,3.140603,714.476
Red,R7 (783),400,-10,-2.439024,1914.151,3.80056,495.3384
Red,R8 (812),241,-74,-23.49206,2091.954,4.596799,204.4607


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.525,1.167303,1.125
Violet,-20.2,1.137215,9
Blue,0,1.241079,1.075
Red,20.275,1.079897,74.04
UV,39.025,1.021623,0
FSC Area Scaling Factor,1.224619,Window Extension,3
Flow Rate,14.16
Temperature,20.5
